DurationHrs;AvgTempF;AnthracnoseRisk
71,2;12,6;High
61,8;6,6;High
52,3;9,1;High
59,3;11,9;High
74,0;13,2;High
41,4;13,3;High
49,1;13,6;High
53,6;12,9;High
59,1;12,7;High
33,6;8,4;Moderate
44,8;7,3;Moderate
17,6;18,3;Moderate
19,4;18,2;Moderate
22,9;19,1;Moderate
15,5;21,6;Moderate
14,7;22,6;Moderate
15,1;21,4;Moderate
20,3;18,8;Moderate
28,2;15,8;Moderate
40,1;6,8;Moderate
17,8;21,8;Moderate
14,9;22,7;Moderate
38,3;13,1;Moderate
48,6;9,1;Moderate
39,6;7,3;Moderate
38,3;8,1;Moderate
24,7;17,4;Moderate
26,3;17,8;Moderate
17,0;22,2;Moderate
20,2;18,8;Moderate
21,6;18,9;Moderate
24,0;16,1;Moderate
33,5;7,8;Moderate
31,8;11,9;Moderate
18,6;19,7;Moderate
30,3;11,6;Moderate
32,7;9,8;Moderate
46,8;4,9;Moderate
25,4;7,3;Low
13,5;21,8;Low
11,7;22,0;Low
12,0;18,9;Low
12,2;19,3;Low
11,6;20,6;Low
12,2;20,2;Low
16,4;11,6;Low
13,7;21,8;Low
12,6;17,9;Low
12,3;19,6;Low
22,8;13,9;Low
15,1;20,0;Low
16,6;14,7;Low
15,8;14,9;Low
23,3;8,6;Low
19,0;12,0;Low
30,3;9,3;Low
20,3;9,0;Low
20,5;13,4;Low
10,5;20,1;Low
15,6;20,3;Low
13,8;20,1;Low
12,8;19,7;Low
13,8;20,0;Low
11,0;19,9;Low
16,3;13,3;Low
12,1;19,7;Low
15,9;17,6;Low
14,8;14,1;Low
16,7;14,4;Low
17,8;11,6;Low
13,5;18,9;Low
15,4;17,7;Low
14,6;17,3;Low
35,6;8,7;Low
14,8;16,1;Low
14,6;15,3;Low
24,6;13,4;Low
26,9;10,4;Low
10,8;20,3;Low
12,1;21,9;Low
17,2;14,5;Low
12,5;17,6;Low
17,0;7,6;Low
19,3;14,7;Low
15,5;18,2;Low
11,9;22,1;Low
24,4;15,2;Low
14,2;18,6;Low
13,8;20,1;Low
11,3;20,0;Low
22,9;16,4;Low
15,0;20,1;Low
14,5;19,7;Low
11,6;20,2;Low
14,8;12,7;Low
17,7;7,7;Low
14,9;11,4;Low
17,2;14,1;Low
18,5;12,2;Low
16,8;12,7;Low
18,5;13,0;Low
18,7;16,4;Low
11,8;12,9;Low
15,6;20,2;Low
15,8;18,2;Low
11,3;22,4;Low
13,3;16,4;Low
19,3;18,4;Low
15,2;11,6;Low
12,9;18,7;Low
14,7;18,7;Low
15,2;16,3;Low
15,3;17,9;Low
20,7;16,2;Low
16,6;15,2;Low
13,4;18,6;Low
16,0;14,4;Low
28,6;7,9;Low
16,3;9,4;Low
12,3;18,5;Low
11,6;15,1;Low
16,8;15,9;Low
18,1;12,3;Low
14,9;20,3;Low
13,8;20,8;Low
15,6;15,8;Low
13,1;18,0;Low
14,7;13,6;Low
11,1;20,9;Low
14,1;19,5;Low
12,8;16,2;Low
15,4;17,6;Low
44,8;6,3;Low
4,9;8,8;None
4,8;9,4;None
18,6;4,2;None
5,3;18,9;None
2,8;10,4;None
6,8;17,2;None
5,0;12,8;None
11,7;4,0;None
5,3;6,6;None
7,8;9,6;None
0,4;16,3;None
12,3;11,5;None
3,9;4,3;None
0,1;17,7;None
0,3;5,8;None
8,1;5,9;None
1,5;13,2;None
7,3;5,1;None
0,4;14,2;None
5,2;10,2;None
8,5;12,8;None
6,5;4,4;None
1,0;9,0;None
0,3;25,6;None
25,7;2,4;None
4,3;1,5;None
2,3;8,2;None
0,8;2,3;None
6,8;16,2;None
8,0;5,7;None
4,8;11,0;None
0,8;10,6;None
11,9;9,2;None
9,4;18,9;None
6,6;11,1;None
3,8;11,6;None
6,5;17,7;None
2,8;6,6;None
13,4;12,3;None
5,0;6,9;None
6,8;4,2;None
12,0;3,3;None
11,5;15,9;None
7,3;21,7;None
0,1;15,5;None
7,9;16,3;None
1,9;17,0;None
5,8;16,4;None
0,1;25,0;None
0,3;15,1;None
