WetPeriod,Station,Start of Wetting Period,End of Wetting Period,Duration (Hrs.),Avg. Temp(F),Rainfall (in.),Anthracnose risk,Wet hrs @ avg temp required for infection,Progress toward infection
1,East Lansing (MSUHort),1/5/2016 7:55,1/5/2016 8:25,0.6,10.6,0,None,0,0%
2,East Lansing (MSUHort),1/8/2016 12:45,1/10/2016 10:55,46.3,38,0.66,None,0,74%
3,East Lansing (MSUHort),1/14/2016 12:00,1/14/2016 14:40,2.8,32,0.02,None,0,0%
4,East Lansing (MSUHort),1/15/2016 2:45,1/15/2016 3:50,1.2,38.7,0,None,0,0%
5,East Lansing (MSUHort),1/15/2016 15:40,1/16/2016 2:45,11.2,36,0.05,None,0,1%
6,East Lansing (MSUHort),1/24/2016 2:10,1/24/2016 4:20,2.3,15.4,0,None,0,0%
7,East Lansing (MSUHort),1/24/2016 7:25,1/24/2016 7:40,0.3,20.3,0,None,0,0%
8,East Lansing (MSUHort),1/25/2016 19:50,1/26/2016 8:05,12.3,37.3,0.04,None,0,18%
9,East Lansing (MSUHort),1/28/2016 15:55,1/28/2016 21:40,5.8,32.4,0.01,None,0,0%
10,East Lansing (MSUHort),1/31/2016 2:35,2/1/2016 12:05,33.6,38.8,0.09,None,0,61%
11,East Lansing (MSUHort),2/1/2016 22:45,2/2/2016 10:25,11.8,27.1,0,None,0,0%
12,East Lansing (MSUHort),2/2/2016 14:20,2/3/2016 10:10,19.9,39.1,0.32,None,0,26%
13,East Lansing (MSUHort),2/3/2016 18:05,2/4/2016 11:15,17.3,31.4,0.01,None,0,0%
14,East Lansing (MSUHort),2/5/2016 12:00,2/5/2016 12:25,0.5,32.6,0.03,None,0,0%
15,East Lansing (MSUHort),2/7/2016 23:50,2/8/2016 10:30,10.8,32,0,None,0,0%
16,East Lansing (MSUHort),2/18/2016 5:55,2/18/2016 7:45,1.9,1.4,0,None,0,0%
17,East Lansing (MSUHort),2/20/2016 21:45,2/21/2016 0:50,3.2,35.9,0,None,0,0%
18,East Lansing (MSUHort),2/21/2016 6:25,2/21/2016 8:15,1.9,34.8,0,None,0,0%
19,East Lansing (MSUHort),2/21/2016 20:55,2/21/2016 23:00,2.2,31.2,0,None,0,0%
20,East Lansing (MSUHort),2/24/2016 12:00,2/25/2016 19:40,31.8,29.8,0.04,None,0,0%
21,East Lansing (MSUHort),2/26/2016 12:55,2/26/2016 14:05,1.3,31.7,0.04,None,0,0%
22,East Lansing (MSUHort),2/27/2016 11:45,2/27/2016 14:25,2.8,35.5,0.14,None,0,4%
23,East Lansing (MSUHort),2/28/2016 19:05,2/29/2016 0:50,5.8,45.2,0.14,None,23.6,22%
24,East Lansing (MSUHort),3/1/2016 15:00,3/2/2016 9:15,18.3,18.3,0,None,0,0%
25,East Lansing (MSUHort),3/2/2016 11:40,3/2/2016 12:15,0.7,25.7,0.05,None,0,0%
26,East Lansing (MSUHort),3/4/2016 8:50,3/4/2016 13:35,4.8,29.6,0.25,None,0,0%
27,East Lansing (MSUHort),3/5/2016 10:50,3/5/2016 14:40,3.9,31.4,0.09,None,0,0%
28,East Lansing (MSUHort),3/6/2016 3:15,3/6/2016 11:20,8.2,18.3,0,None,0,0%
29,East Lansing (MSUHort),3/9/2016 6:40,3/9/2016 8:30,1.9,54.3,0.02,None,17.5,12%
30,East Lansing (MSUHort),3/9/2016 18:35,3/10/2016 10:00,15.5,55,0.27,None,16.9,91%
31,East Lansing (MSUHort),3/11/2016 6:45,3/11/2016 7:15,0.6,32.4,0,None,0,0%
32,East Lansing (MSUHort),3/11/2016 20:30,3/11/2016 21:25,1,41.2,0,None,32.4,3%
33,East Lansing (MSUHort),3/12/2016 0:20,3/12/2016 9:05,8.8,33.9,0,None,0,0%
34,East Lansing (MSUHort),3/13/2016 4:50,3/14/2016 14:20,33.6,47.2,0.95,Moderate,22,150%
35,East Lansing (MSUHort),3/15/2016 23:35,3/16/2016 11:45,12.3,44.8,0.13,None,25.2,59%
36,East Lansing (MSUHort),3/17/2016 22:00,3/18/2016 8:30,10.6,30.7,0,None,0,0%
37,East Lansing (MSUHort),3/23/2016 10:00,3/23/2016 10:40,0.8,37.6,0,None,0,0%
38,East Lansing (MSUHort),3/23/2016 13:55,3/25/2016 0:15,34.4,36.1,1.01,None,0,14%
39,East Lansing (MSUHort),3/25/2016 20:50,3/25/2016 23:05,2.3,32,0,None,0,0%
40,East Lansing (MSUHort),3/26/2016 1:20,3/26/2016 8:20,7.1,29.5,0,None,0,0%
41,East Lansing (MSUHort),3/27/2016 22:20,3/28/2016 8:50,10.6,44.5,0.33,None,25.2,42%
42,East Lansing (MSUHort),3/28/2016 22:05,3/29/2016 1:30,3.5,33.8,0,None,0,0%
43,East Lansing (MSUHort),3/29/2016 4:10,3/29/2016 9:15,5.2,32.2,0,None,0,0%
44,East Lansing (MSUHort),3/29/2016 21:55,3/29/2016 23:20,1.5,34.1,0,None,0,0%
45,East Lansing (MSUHort),3/30/2016 20:10,3/31/2016 9:45,13.7,51.5,0.42,None,19.2,86%
46,East Lansing (MSUHort),3/31/2016 15:35,3/31/2016 20:00,4.5,55.4,0.46,None,16.9,28%
47,East Lansing (MSUHort),4/1/2016 21:50,4/2/2016 18:00,20.3,33,0.09,None,0,0%
48,East Lansing (MSUHort),4/3/2016 12:20,4/3/2016 12:20,0.1,35,0.02,None,0,0%
49,East Lansing (MSUHort),4/3/2016 20:15,4/4/2016 6:20,10.2,35.1,0.01,None,0,13%
50,East Lansing (MSUHort),4/6/2016 0:05,4/6/2016 0:30,0.5,32.1,0,None,0,0%
51,East Lansing (MSUHort),4/6/2016 2:35,4/7/2016 18:50,40.3,37,0.59,None,0,52%
52,East Lansing (MSUHort),4/8/2016 16:45,4/9/2016 3:00,10.3,29.3,0,None,0,0%
53,East Lansing (MSUHort),4/9/2016 10:15,4/9/2016 10:15,0.1,30.6,0,None,0,0%
54,East Lansing (MSUHort),4/9/2016 13:10,4/9/2016 15:05,2,32,0.04,None,0,0%
55,East Lansing (MSUHort),4/10/2016 11:00,4/11/2016 8:55,22,39,0.62,None,0,37%
56,East Lansing (MSUHort),4/12/2016 22:45,4/13/2016 3:05,4.4,31.4,0,None,0,0%
57,East Lansing (MSUHort),4/13/2016 5:20,4/13/2016 5:40,0.4,34.5,0,None,0,0%
58,East Lansing (MSUHort),4/14/2016 2:50,4/14/2016 6:55,4.2,31.1,0,None,0,0%
59,East Lansing (MSUHort),4/15/2016 0:40,4/15/2016 7:20,6.8,34.8,0,None,0,2%
60,East Lansing (MSUHort),4/17/2016 3:50,4/17/2016 6:50,3.1,40.3,0,None,34.8,5%
61,East Lansing (MSUHort),4/18/2016 1:50,4/18/2016 7:00,5.3,46.1,0,None,22.8,23%
62,East Lansing (MSUHort),4/19/2016 9:40,4/19/2016 13:30,3.9,39.8,0,None,0,18%
63,East Lansing (MSUHort),4/21/2016 0:10,4/21/2016 12:55,12.8,48.6,0.2,None,21.2,67%
64,East Lansing (MSUHort),4/21/2016 20:50,4/22/2016 11:10,14.4,51,0,None,19.2,78%
65,East Lansing (MSUHort),4/23/2016 2:55,4/23/2016 6:55,4.1,36,0,None,0,0%
66,East Lansing (MSUHort),4/25/2016 20:55,4/26/2016 12:55,16.1,48.7,0.71,None,21.2,75%
67,East Lansing (MSUHort),4/27/2016 0:55,4/27/2016 3:05,2.3,36,0,None,0,0%
68,East Lansing (MSUHort),4/28/2016 6:25,4/28/2016 15:10,8.8,40.6,0.28,None,34.8,20%
69,East Lansing (MSUHort),4/29/2016 4:45,4/29/2016 7:50,3.2,41.4,0,None,32.4,10%
70,East Lansing (MSUHort),4/30/2016 0:15,4/30/2016 6:20,6.2,39.5,0,None,0,7%
71,East Lansing (MSUHort),4/30/2016 14:35,5/2/2016 11:20,44.8,45.2,0.81,Moderate,23.6,192%
72,East Lansing (MSUHort),5/2/2016 23:45,5/3/2016 7:40,8,42.3,0,None,30,21%
73,East Lansing (MSUHort),5/4/2016 6:45,5/5/2016 8:05,25.4,45.2,0.31,Low,23.6,123%
