DurationHrs,AvgTempF,Rainfallin,AnthracnoseRisk
71.2,54.6,1.92,High
61.8,43.8,0.81,High
52.3,48.4,2.6,High
59.3,53.4,1.98,High
74,55.8,0.66,High
41.4,55.9,0.83,High
49.1,56.5,1.17,High
53.6,55.3,1.86,High
59.1,54.8,2.56,High
25.4,45.2,0.31,Low
13.5,71.3,0.82,Low
11.7,71.6,0.8,Low
12,66.1,0,Low
12.2,66.8,0,Low
11.6,69,0,Low
12.2,68.3,0,Low
16.4,52.9,0.21,Low
13.7,71.2,0,Low
12.6,64.3,0,Low
12.3,67.2,0,Low
22.8,57,0.84,Low
15.1,68,0,Low
16.6,58.5,0,Low
15.8,58.9,0.36,Low
23.3,47.4,0.1,Low
19,53.6,0.51,Low
30.3,48.8,1.16,Low
20.3,48.2,0.01,Low
20.5,56.1,0.57,Low
10.5,68.2,1.08,Low
15.6,68.6,1.65,Low
13.8,68.1,0.01,Low
12.8,67.5,0,Low
13.8,68,0,Low
11,67.8,0,Low
16.3,56,0.13,Low
12.1,67.4,0,Low
15.9,63.6,0.29,Low
14.8,57.4,0.02,Low
16.7,57.9,0.12,Low
17.8,52.9,0.01,Low
13.5,66.1,0.07,Low
15.4,63.9,0.46,Low
14.6,63.2,0.15,Low
35.6,47.6,1.56,Low
14.8,60.9,0.38,Low
14.6,59.5,0.45,Low
24.6,56.2,0.38,Low
26.9,50.7,0.52,Low
10.8,68.6,0,Low
12.1,71.5,0.83,Low
17.2,58.1,0.32,Low
12.5,63.6,0,Low
17,45.6,0.05,Low
19.3,58.4,0.1,Low
15.5,64.8,0.21,Low
11.9,71.7,0.07,Low
24.4,59.3,0.23,Low
14.2,65.4,0.31,Low
13.8,68.2,2.46,Low
11.3,68,0,Low
22.9,61.6,0.11,Low
15,68.1,0.01,Low
14.5,67.5,0,Low
11.6,68.3,0.56,Low
14.8,54.9,0.37,Low
17.7,45.8,0.07,Low
14.9,52.5,0.12,Low
17.2,57.4,0.07,Low
18.5,54,0.85,Low
16.8,54.8,0.34,Low
18.5,55.4,0.66,Low
18.7,61.5,1.59,Low
11.8,55.3,0.05,Low
15.6,68.4,0.3,Low
15.8,64.8,0.86,Low
11.3,72.4,0,Low
13.3,61.6,0.18,Low
19.3,65.2,0.39,Low
15.2,52.9,0.28,Low
12.9,65.6,0.06,Low
14.7,65.6,0,Low
15.2,61.3,0.02,Low
15.3,64.2,0.66,Low
20.7,61.2,0.11,Low
16.6,59.3,0,Low
13.4,65.5,0.2,Low
16,58,0.65,Low
28.6,46.2,2.12,Low
16.3,49,0.6,Low
12.3,65.3,0.01,Low
11.6,59.2,0.02,Low
16.8,60.6,0.55,Low
18.1,54.2,0.25,Low
14.9,68.6,1.08,Low
13.8,69.5,0.59,Low
15.6,60.4,0.7,Low
13.1,64.4,0.01,Low
14.7,56.5,0.02,Low
11.1,69.6,0.13,Low
14.1,67.1,1.45,Low
12.8,61.2,0.24,Low
15.4,63.7,0.43,Low
44.8,43.4,0.47,Low
33.6,47.2,0.95,Moderate
44.8,45.2,0.81,Moderate
17.6,65,0.28,Moderate
19.4,64.8,0.3,Moderate
22.9,66.4,1.39,Moderate
15.5,70.8,2.76,Moderate
14.7,72.7,0.07,Moderate
15.1,70.6,0.16,Moderate
20.3,65.8,0.61,Moderate
28.2,60.5,0.81,Moderate
40.1,44.2,1.45,Moderate
17.8,71.2,0.38,Moderate
14.9,72.8,0.34,Moderate
38.3,55.6,2.08,Moderate
48.6,48.4,1.65,Moderate
39.6,45.1,0.49,Moderate
38.3,46.5,0.89,Moderate
24.7,63.4,0.41,Moderate
26.3,64.1,2.37,Moderate
17,71.9,0.05,Moderate
20.2,65.9,0.12,Moderate
21.6,66.1,0.38,Moderate
24,60.9,0.81,Moderate
33.5,46.1,1.18,Moderate
31.8,53.5,1.71,Moderate
18.6,67.5,0.67,Moderate
30.3,52.8,0.19,Moderate
32.7,49.7,1.21,Moderate
46.8,40.8,0.43,Moderate
4.9,47.9,0.34,None
4.8,49,0,None
2.8,26.4,0,None
18.6,39.5,0.16,None
5.3,66,0.04,None
3.3,33.2,0.01,None
2.8,50.7,0,None
14,27.5,0,None
6.8,63,0.94,None
6,23.9,0,None
0.6,32.4,0,None
5,55.1,0,None
11.7,39.2,0,None
6.9,20.2,0,None
31.4,30.9,0.21,None
5.3,43.8,0,None
1.9,33,0,None
7.8,49.3,0,None
0.4,61.3,0,None
12.3,52.7,0,None
3.9,39.8,0,None
0.1,63.8,0,None
0.3,20.3,0,None
12.1,32.4,0,None
0.3,42.4,0,None
8.1,42.6,0,None
1.5,55.8,0.03,None
7.3,41.1,0,None
0.4,57.5,0,None
1.3,20.3,0,None
5.2,50.3,0,None
8.5,55.1,0,None
6.5,40,0,None
1,48.2,0.09,None
0.3,78,0,None
10.9,29.9,0,None
10.5,29.4,0,None
25.7,36.3,0.58,None
0.7,32.4,0,None
4.3,34.7,0,None
2.3,46.8,0,None
0.8,36.2,0,None
6.8,61.1,0,None
0.1,28,0,None
8,42.3,0,None
3.9,31.4,0.09,None
4.8,51.8,0,None
0.8,51.1,0.04,None
11.9,48.5,0,None
0.1,28.9,0,None
9.4,66,0.01,None
6.6,51.9,0.08,None
3.8,21.1,0,None
3.8,52.9,0.24,None
6.5,63.9,0.15,None
2.8,43.9,0,None
13.4,54.1,0.09,None
5,44.4,0,None
6.8,39.5,0,None
12,38,0.36,None
11.5,60.6,0,None
1.8,28.8,0,None
1.2,38.9,0,None
7.3,71.1,0,None
0.1,59.9,0,None
7.9,61.4,0,None
1.9,62.6,0,None
2.9,30.5,0,None
5.8,61.5,0,None
0.1,31.8,0.01,None
0.1,77,0,None
0.3,59.2,0.02,None
0.6,31.1,0.03,None
1.3,32.7,0,None
7.8,38,0,None
14,31.2,0,None
